id,path,expected,split
thsl_กรุงเทพ_var_1,D:\TSL\work\thsl_crossval\clips\กรุงเทพ_var_1.mp4,กรุงเทพ_var_1,test
thsl_กลัว_var_1,D:\TSL\work\thsl_crossval\clips\กลัว_var_1.mp4,กลัว_var_1,test
thsl_กิน_var_1,D:\TSL\work\thsl_crossval\clips\กิน_var_1.mp4,กิน_var_1,test
thsl_ขนมปัง_var_1,D:\TSL\work\thsl_crossval\clips\ขนมปัง_var_1.mp4,ขนมปัง_var_1,test
thsl_ขอบคุณ_เปิดมือสองข้าง,D:\TSL\work\thsl_crossval\clips\ขอบคุณ_เปิดมือสองข้าง.mp4,ขอบคุณ_เปิดมือสองข้าง,test
thsl_ขอโทษ_อายุเท่ากันหรือน้อยกว่า,D:\TSL\work\thsl_crossval\clips\ขอโทษ_อายุเท่ากันหรือน้อยกว่า.mp4,ขอโทษ_อายุเท่ากันหรือน้อยกว่า,test
thsl_ข้าว_var_1,D:\TSL\work\thsl_crossval\clips\ข้าว_var_1.mp4,ข้าว_var_1,test
thsl_คุณ_var_1,D:\TSL\work\thsl_crossval\clips\คุณ_var_1.mp4,คุณ_var_1,test
thsl_ฉัน_var_1,D:\TSL\work\thsl_crossval\clips\ฉัน_var_1.mp4,ฉัน_var_1,test
thsl_ฉัน_var_2,D:\TSL\work\thsl_crossval\clips\ฉัน_var_2.mp4,ฉัน_var_2,test
thsl_ชอบ_var_1,D:\TSL\work\thsl_crossval\clips\ชอบ_var_1.mp4,ชอบ_var_1,test
thsl_ตลาด_var_4,D:\TSL\work\thsl_crossval\clips\ตลาด_var_4.mp4,ตลาด_var_4,test
thsl_ถาม_ทำท่ามือถามไปยังผู้นั้น,D:\TSL\work\thsl_crossval\clips\ถาม_ทำท่ามือถามไปยังผู้นั้น.mp4,ถาม_ทำท่ามือถามไปยังผู้นั้น,test
thsl_ทำงาน_var_2,D:\TSL\work\thsl_crossval\clips\ทำงาน_var_2.mp4,ทำงาน_var_2,test
thsl_ทำไม_var_1,D:\TSL\work\thsl_crossval\clips\ทำไม_var_1.mp4,ทำไม_var_1,test
thsl_ที่ไหน_var_1,D:\TSL\work\thsl_crossval\clips\ที่ไหน_var_1.mp4,ที่ไหน_var_1,test
thsl_บ้าน_var_1,D:\TSL\work\thsl_crossval\clips\บ้าน_var_1.mp4,บ้าน_var_1,test
thsl_พรุ่งนี้_var_1,D:\TSL\work\thsl_crossval\clips\พรุ่งนี้_var_1.mp4,พรุ่งนี้_var_1,test
thsl_พี่_var_1,D:\TSL\work\thsl_crossval\clips\พี่_var_1.mp4,พี่_var_1,test
thsl_ภาษามือ_var_1,D:\TSL\work\thsl_crossval\clips\ภาษามือ_var_1.mp4,ภาษามือ_var_1,test
thsl_ยาย_var_1,D:\TSL\work\thsl_crossval\clips\ยาย_var_1.mp4,ยาย_var_1,test
thsl_ร้อน_สองมือ,D:\TSL\work\thsl_crossval\clips\ร้อน_สองมือ.mp4,ร้อน_สองมือ,test
thsl_วันนี้_var_1,D:\TSL\work\thsl_crossval\clips\วันนี้_var_1.mp4,วันนี้_var_1,test
thsl_วันหยุด_var_1,D:\TSL\work\thsl_crossval\clips\วันหยุด_var_1.mp4,วันหยุด_var_1,test
thsl_สบายดี_var_1,D:\TSL\work\thsl_crossval\clips\สบายดี_var_1.mp4,สบายดี_var_1,test
thsl_สวัสดี_อายุเท่ากันหรือน้อยกว่า,D:\TSL\work\thsl_crossval\clips\สวัสดี_อายุเท่ากันหรือน้อยกว่า.mp4,สวัสดี_อายุเท่ากันหรือน้อยกว่า,test
thsl_หูหนวก_var_2,D:\TSL\work\thsl_crossval\clips\หูหนวก_var_2.mp4,หูหนวก_var_2,test
thsl_อย่า_var_1,D:\TSL\work\thsl_crossval\clips\อย่า_var_1.mp4,อย่า_var_1,test
thsl_อะไร_var_1,D:\TSL\work\thsl_crossval\clips\อะไร_var_1.mp4,อะไร_var_1,test
thsl_เกิด_var_2,D:\TSL\work\thsl_crossval\clips\เกิด_var_2.mp4,เกิด_var_2,test
thsl_เช้า_var_1,D:\TSL\work\thsl_crossval\clips\เช้า_var_1.mp4,เช้า_var_1,test
thsl_เที่ยว_var_1,D:\TSL\work\thsl_crossval\clips\เที่ยว_var_1.mp4,เที่ยว_var_1,test
